,German,中文,Example
0,"trotten (trottet, trottete, ist getrottet)",跋涉,Die Kinder trotten langsam den Berg hinauf.
1,"hängen (hängt, hing, hat gehangen)",悬挂,Das Bild hängt an der Wand.
2,"schlucken (schluckt, schluckte, hat geschluckt)",吞咽,"Er schluckt nervös, bevor er spricht."
3,Gemeinheit (feminine),卑鄙行为,Die Gemeinheit hat ihn verletzt.
4,Mut (masculine),勇气,Sein Mut beeindruckte alle.
5,"seufzen (seufzt, seufzte, hat geseufzt)",叹息,"Sie seufzte, als sie die Nachricht hörte."
6,"Kumpel, Kumpels/Kumpel (masculine)",伙伴,Mein Kumpel hilft mir immer.
7,"maulen (mault, maulte, hat gemault)",发牢骚,Warum maulest du immer?
8,"Riese, Riesen (masculine)",巨人,Der Riese steht im Wald. Die Riesen sind beeindruckend.
9,"Vorwurf, Vorwürfe (masculine)",指责,Die Vorwürfe haben ihn getroffen.
10,wider,反对,Er ist wider die Entscheidung.
11,"nicken (nickt, nickte, hat genickt)",点头,Sie nickte zustimmend.
12,Stürmer (masculine),前锋,Der Stürmer erzielte das entscheidende Tor.
13,"zurannte (rannte zu, rannte zu, ist zugerannt)",冲向,Er zurannte zu seinem Freund.
14,"Luft, Lüfte (feminine)",空气,Die Luft ist frisch am Morgen.
15,erwartungsvoll,充满期待的,Sie schaute erwartungsvoll auf die Bühne.
16,verlegen,尴尬,"Er war verlegen und wusste nicht, was er sagen sollte."
17,überhaupt,根本,Ich habe überhaupt keine Ahnung.
18,davon,关于这个,Ich habe keine Ahnung davon.
19,aufmunternd,鼓励的,Ihre Worte waren sehr aufmunternd.
20,"tief (tiefer, am tiefsten)",深,Der Ozean ist sehr tief.
21,"winken (winkt, winkte, hat gewinkt)",挥手,Sie winkte ihm zum Abschied.
22,"beißen (beißt, biss, hat gebissen)",咬,Der Hund beißt in den Knochen.
23,"Lippe, Lippen (feminine)",嘴唇,Sie biss sich auf die Lippe.
24,Gespött (neuter),笑柄,Er wurde zum Gespött der Klasse.
25,"erfahren (erfährt, erfuhr, hat erfahren)",得知,"Ich habe gerade erfahren, dass er kommt."
26,"rumrennen (rennt rum, rannte rum, ist rumgerannt)",到处跑,Die Kinder rennen im Garten rum.
27,"zurennen (rennt zu, rannte zu, ist hingezerrannt)",冲过去,Er rannte zu seinem Freund.
28,eben,刚才,Ich habe ihn eben gesehen.
29,"verwandeln (verwandelt, verwandelte, hat verwandelt)",变成,Die Raupe verwandelte sich in einen Schmetterling.
30,schreiend,尖叫,Die Kinder spielten schreiend im Park.
31,"Halten (hält, hielt, hat gehalten)",停止,Halt an der Ampel.
32,"rennen (rennt, rannte, ist gerannt)",奔跑,Die Kinder rennen durch den Park.
33,"kassieren (kassiert, kassierte, hat kassiert)",收款,Er kassierte das Geld an der Kasse.
34,runter,下来,"Komm runter von der Leiter, es ist gefährlich!"
35,gucken,看,Sie guckt sich gerne Filme an.
36,verschwitzt,出汗的,Nach dem Laufen ist er immer sehr verschwitzt.
37,"lassen (lässt, ließ, hat gelassen)",让,Kannst du mich bitte in Ruhe lassen?
38,zwar,的确,"Das Essen ist zwar lecker, aber es ist zu viel."
39,verkünden,宣布,Der Sprecher verkündete die Gewinner des Wettbewerbs.
40,hinterher,之后,"Sie rennte ihm hinterher, um ihm die Nachricht zu geben."
41,"Weile, Weilen (feminine)",一会儿,"Warte bitte eine Weile, ich bin gleich wieder da."
42,"Ruck, Rucke (masculine)",突然的移动,Der Ruck des Zuges war deutlich zu spüren.
43,"schlimm (schlimmer, am schlimmsten)",糟糕的,Das war eine schlimme Situation.
44,unversucht,未尝试的,"Er ließ keinen Stein unversucht, um die Wahrheit herauszufinden."
45,lässen … fallen,扔下,Viktor lässt die Trainingstasche fallen.
46,nichts unversucht lassen.,不遗余力,Er darf nichts unversucht lassen. 
47,"herumstehen (steht herum, stand herum, hat herumgestanden)",站在周围,Die Leute herumstehen und warten auf den Beginn der Veranstaltung.
48,"Hinsetzen (setzen, setzt, setzte, hat gesetzt)",坐下,Du kannst dich hinsetzen und auf den Bus warten.
49,"merken (merkt, merkte, hat gemerkt)",记住,Bitte merk dir diese Informationen für die Prüfung.
50,Schiri (Schiedsrichter),裁判,Der Schiri hat eine klare Entscheidung getroffen.
51,"anpfiffen (anpfeifen, pfeift an, pfiff an, hat angepfiffen)",开球,Der Schiedsrichter wird das Spiel gleich anpfeifen.
52,quer,横,"Du musst die Straße quer überqueren, um zum Park zu gelangen."
53,Stürmer,前锋,Der Stürmer erzielte ein beeindruckendes Tor.
54,"gelingen (gelingt, gelang, ist gelungen)",成功,"Das Projekt wird nur dann gelingen, wenn alle zusammenarbeiten."
55,"preschen (prescht, preschte, ist/hat geprescht)",冲刺,Der Reiter prescht mutig vorwärts.
56,peilen,把握方向,"Kannst du peilen, wohin wir gehen sollen?"
57,Typ,家伙,"Wer ist dieser Typ, der dort steht?"
58,Schnauze,嘴巴,Halt die Schnauze und hör auf zu meckern.
59,"kneift (kneifen, kneift, kniff, hat gekniffen)",捏,"Sie kneift sich, um sicherzustellen, dass sie nicht träumt."
60,rasen,飞驰,Die Autos rasen die Autobahn entlang.
61,Erde,地球,Die Erde dreht sich um die Sonne.
62,stampfen,跺脚,Die Kinder stampfen ihre Füße im Takt der Musik.
63,hauen,打,"Er drohte, ihm eine zu hauen, wenn er nicht aufhörte."
64,"weiche (weich, weicher, am weichsten)",软,Die Matratze ist schön weich.
