,German,中文,Example
0,"*sich verlaufen (verläuft, verlief, ist verlaufen)",迷路,Er hat sich im Wald verlaufen.
1,"die Schlinge, Schlingen (feminine)",套索,Der Jäger legte die Schlinge aus.
2,"die Schonung, Schonungen (feminine)",保护,Der Naturschutzgebiet dient der Schonung der Natur.
3,"die Kontrolle, Kontrollen (feminine)",控制,Die Lehrerin behält die Kontrolle über die Klasse.
4,laut,按照, Laut Ariannas Businessplan brauchen wir einen Manage.
5,"festlegen (legt fest, legte fest, hat festgelegt)",确定,Wir müssen einen Termin festlegen.
6,"fassen (fasst, fasste, hat gefasst)",抓住,Er fasst die Katze vorsichtig.
7,zudem,此外,"Das Essen war köstlich, zudem war der Service ausgezeichnet."
8,"das Umfeld, Umfelder (neuter)",环境,Das Umfeld beeinflusst unsere Entwicklung.
9,"auffordern (fordert auf, forderte auf, hat aufgefordert)",要求,Der Chef fordert die Mitarbeiter zur Pünktlichkeit auf.
10,"die Personalabteilung, Personalabteilungen (feminine)",人力资源部,Bitte wenden Sie sich an die Personalabteilung.
11,"der Auflösungsvertrag, Auflösungsverträge (masculine)",解雇合同,Der Auflösungsvertrag wurde unterzeichnet.
12,"auszahlen (zahlt aus, zahlte aus, hat ausgezahlt)",支付,Die Firma wird die Prämie auszahlen.
13,freiberuflich,自由职业,Er arbeitet freiberuflich als Grafikdesigner.
14,"der Stundensatz, Stundensätze (masculine)",小时工资,Der Stundensatz beträgt 20 Euro.
15,Gelegenheiten ergreifen,抓住机会,"Man sollte Gelegenheiten ergreifen, wenn sie sich bieten."
16,"absprechen (spricht ab, sprach ab, hat abgesprochen)",商定,Wir müssen den Termin absprechen.
17,ebenso,同样,Seine Schwester ist ebenso intelligent wie er.
18,"das Leitungsmeeting, Leitungsmeetings (neuter)",主管会议,Das Leitungsmeeting findet jeden Montag statt.
19,vertraut sein mit,熟悉,Er ist vertraut mit den Regeln des Spiels.
20,keine Ursache,不客气,"""Danke für deine Hilfe!""-""Keine Ursache."""
21,"die Unterlage, Unterlagen (feminine)",文件,Die Unterlagen müssen noch überprüft werden.
22,übermitteln,传达,Er übermittelt die Nachricht an seinen Chef.
23,"herausplatzen (platzt heraus, platzte heraus, ist herausgeplatzt)",突然爆发,Die Wahrheit platzt aus ihm heraus.
24,lädiert,受损,Das Auto ist bei dem Unfall lädiert worden.
25,"strahlen (strahlt, strahlte, hat gestrahlt)",发光,Die Sonne strahlt am Himmel.
26,grinsend,咧嘴笑,"Er stand da, grinsend und zufrieden."
27,"der Schlag, Schläge (masculine)",打击,Die Schläge des Boxers waren schnell und präzise.
28,"die Behauptung, Behauptungen (feminine)",断言,Seine Behauptung konnte er nicht beweisen.
29,der gute Geist des Hauses sein,成为房子的好灵魂,Die Haushälterin ist der gute Geist des Hauses.
30,der Geschmack,味道,Der Geschmack des Essens war köstlich.
31,"verkünden (verkündet, verkündete, hat verkündet)",宣布,Der Bürgermeister verkündete die Neuigkeiten auf dem Marktplatz.
32,"das Gedächtnis, Gedächtnisse (neuter)",记忆,Sein Gedächtnis ist phänomenal.
33,"fortfahren (fährt fort, fuhr fort, ist fortgefahren)",继续,"Er wird mit dem Vortrag fortfahren, nachdem er eine kurze Pause gemacht hat."
34,"beinhalten (beinhaltet, beinhaltete, hat beinhaltet)",包含,Die Verträge beinhalten alle wichtigen Details.
35,eine gewisse,某种,Er hat eine gewisse Ähnlichkeit mit seinem Vater.
36,"der Summ, Summe (masculine)",嗡嗡声,Ein leiser Summ hallte durch den Raum. 
37,verlaufen,迷路,Die Wanderer sind im Wald verlaufen.
38,"zugänglich (zugänglicher, am zugänglichsten)",可进入的,Die Bibliothek ist für alle zugänglich.
39,herrichten,整理,Kannst du bitte das Zimmer herrichten?
40,schicksalsergeben,顺从命运的,"Sie ist schicksalsergeben und akzeptiert alles, was passiert."
41,"Vergangenheit, Vergangenheiten (feminine)",过去,Die Vergangenheit hat ihn geprägt.
42,überreden,说服,"Er konnte mich endlich überreden, mit ihm zu kommen."
43,anschaffen,买,Wir müssen uns einen neuen Kühlschrank anschaffen.
44,"Jahrgang, Jahrgänge (masculine)",年份,Welchen Jahrgang hat dieser Wein?
45,auftreten,出现,Ein neues Symptom ist bei ihm aufgetreten.
46,"Abwesenheit (Abwesenheiten, feminine)",缺席,Seine Abwesenheit wurde bemerkt.
47,"Vorlage, Vorlagen (feminine)",样本,Kannst du mir bitte eine Vorlage für den Bericht geben? 
48,"einmieten (mietet ein, mietete ein, hat eingemietet)",租用,Wir möchten uns in diesem Hotel einmieten.
49,buntes Treiben,热闹,In der Altstadt herrscht immer buntes Treiben.
50,"Flitterwoche, Flitterwochen (feminine)",蜜月,Sie verbringen ihre Flitterwochen in den Tropen.
51,Auf die Weise,这样,Auf die Weise können wir das Problem lösen.
52,sämtlich,全部的,Die sämtlichen Fenster müssen erneuert werden.
53,"übertreffen (übertrifft, übertraf, hat übertroffen)",超过,Seine Leistungen übertreffen immer unsere Erwartungen.
54,veröffentlichen,发布,Das Unternehmen wird seine neuen Produkte nächste Woche veröffentlichen. 
55,"abweichen (weicht ab, wich ab, ist abgewichen)",偏离,Der Zug wird von seiner geplanten Route abweichen.
56,Bauunternehmen (neuter),建筑公司,Das Bauunternehmen hat den Auftrag für das neue Hochhaus erhalten.
57,ein gutes Verhältnis,良好关系,Sie haben ein gutes Verhältnis zueinander.
58,"Familienfest, Familienfeste (neuter)",家庭聚会,Das Familienfest war sehr lustig.
59,"Beerdigung, Beerdigungen (feminine)",葬礼,Die Beerdigung findet morgen statt.
60,dazwischengekommen,插进来,"Es ist etwas dazwischengekommen, und deshalb konnte ich nicht pünktlich sein."
61,"Vitrine, Vitrinen (feminine)",展示柜,Die Porzellansammlung wird in der Vitrine ausgestellt.
62,Porzellan (neuter),瓷器,Das Porzellan wurde in China hergestellt.
63,aufbewahren,保存,Wir sollten wichtige Dokumente sicher aufbewahren.
64,herausholen,拿出来,"Bitte herausholen, was du versteckt hast."
65,entziffern,破译,Er konnte die alten Hieroglyphen nicht entziffern.
66,soweit,到目前为止,"Soweit ich weiß, hat er den Job noch nicht bekommen."
67,durchschauen,看穿,Sie konnte seine Lügen sofort durchschauen.
68,"Tagebuch führen (führt, führte, hat geführt)",写日记,Sie führt seit Jahren Tagebuch.
69,"Aufzeichnung, Aufzeichnungen (feminine)",记录,Die Aufzeichnung des Gesprächs war unvollständig.
70,"Zimmermann, Zimmerleute (masculine)",木匠,Der Zimmermann baut ein neues Haus. 
71,"Näharbeit, Näharbeite (feminine)",缝纫工作,Sie macht gerne Näharbeit in ihrer Freizeit.
72,bewundern,赞赏,Ich bewundere deine Tapferkeit.
73,"Schwangerschaft, Schwangerschaften (feminine)",怀孕,Die Schwangerschaft dauert neun Monate.
74,"Gerüst, Gerüste (neuter)",脚手架,Die Arbeiter bauen das Gerüst für das neue Gebäude auf. 
75,"Ersparnis, Ersparnisse (feminine)",储蓄,Sie hat ihre Ersparnisse in Aktien investiert.
76,"Wirtschaftskrise, Wirtschaftskrisen (feminine)",经济危机,Die Wirtschaftskrise führt zu vielen Entlassungen.
77,ausgerechnet jetzt,偏偏现在,Ausgerechnet jetzt funktioniert mein Auto nicht mehr.
78,Mittelschicht,中产阶级,Die Mittelschicht ist oft das Rückgrat der Gesellschaft.
79,"Erbe, Erben (neuter)",遗产,Das Haus war sein Erbe von seinem Großvater.
80,"Beutel, Beutel (masculine)",袋子,Ich trage meinen Einkauf in einem Beutel.
81,erwähnen,提及,Erwähnt sie bitte meinen Namen in ihrer Rede? 
